,z,LIR_med,LIR_16th,LIR_84th,LPeak_med,LPeak_16th,LPeak_84th,alpha_med,alpha_16th,alpha_84th,beta_med,beta_16th,beta_84th,tdust_med,tdust_16th,tdust_84th
1921,0.2206999957561493,11.129543983290844,0.012525544931765954,0.012524269759806694,114.0100352636565,3.3783329898204926,3.3857250634582954,2.621384379694765,0.0965610227812248,0.11224628786407864,2.211078635159682,0.319688743907383,0.3391208531948733,40.71461814578093,1.4313637199237093,1.642340322056711
1922,0.19183224439620966,10.538063465460933,0.02485324714471366,0.02479434895151293,103.77010955120004,6.648530571627859,7.013570963195761,2.497850496402279,0.15899358969636124,0.18087408466786226,1.9512723698276304,0.3929756683406458,0.3985791699704222,45.49856425355942,3.6383448397623965,4.053875837562728
1923,0.2224999964237213,10.681448786976501,0.02264769637158597,0.02359901738151963,112.38936561188189,6.21471718620235,6.180103156014738,2.740537603367546,0.13913456168721394,0.16407614163564022,1.6936746542062218,0.4537006698920274,0.4482840945543205,40.3251214517594,2.863442232864358,3.185322997273097
1924,0.3790000081062317,10.73283291732877,0.05785633212799428,0.05805941307652029,126.0571574078858,17.81614556078857,20.984842618581922,2.2875621351021547,0.18137485710122725,0.20797285284894507,1.9908219929285291,0.41085341136589104,0.4231941532898751,34.63581603665472,7.217351422905757,8.274347465667162
1925,0.3429000079631805,11.254860164208917,0.01919906404497786,0.01914217601512348,115.05100837464664,4.872749186514312,4.538270100144231,2.403244083006794,0.09518039395525646,0.10530724552923054,1.430818983632245,0.32612158157396864,0.36572984759923033,38.64932856383959,1.907047624585232,2.17795681626756
1926,0.2657,11.008516274238419,0.01793728985362878,0.018166454562149388,126.0571574078858,3.5242294175317,3.399597777880018,2.397315214578758,0.08525495948711503,0.08971484012079811,2.251472607754711,0.3295720865843297,0.34779070983218396,35.022274724864644,1.362085213673815,1.432726225951619
1927,1.3767000436782837,12.176693599629544,0.06119482167073767,0.0620500022354757,101.68958942417686,10.736661917639807,9.937492023104937,2.6067075776339603,0.17626958538956128,0.21215972739563993,2.082541718265773,0.4084342849927092,0.38996679441203463,47.311858546272745,5.4157396391665955,6.764712762046095
1928,0.2654,10.788178720364325,0.031195229935320257,0.03147695386179257,122.5701751913032,7.189953174459873,6.451636164019845,2.4898460709932246,0.12242297222295173,0.135111810886686,1.9352353581643094,0.4143182404873764,0.4177662395538224,36.03130557417691,2.64799930009611,3.195573257825167
1929,1.121999979019165,12.369867616306031,0.02245872551123709,0.02273067730060406,65.9805500589542,5.146469979820452,5.194381879336504,1.9676998725358024,0.11605300846692801,0.13172035789262715,1.9974962665232328,0.40974239060849094,0.4179988558780199,76.87883287849957,5.7878235343865185,6.68720763316901
1930,1.9914000034332275,12.597524802563594,0.06595601856970143,0.07994864353272478,110.70763923562241,14.867249583037747,13.619897475557977,1.75929742189685,0.14221138581323123,0.1773851247118754,1.8302018801776008,0.42373420319114263,0.41035510622772,41.350858625342894,6.045976262987132,7.963642740361884
