,z,F24,F70,F100,F160,F250,F350,F500,F850,F1point1mm,F1point2mm,E24,E70,E100,E160,E250,E350,E500,E850,E1point1mm,E1point2mm,RA24,DEC24
35,0.3707,0.3540000021457672,0.0,12.258999824523926,15.97599983215332,4.587500095367432,0.0,0.0,0.2157708511086046,0.0,0.0,0.02385979941484638,-99.0,2.1614524135475954,4.2048435469704035,5.802902054265607,6.513999938964844,6.8,0.9916871411005048,0.0,0.0,150.07223,1.813152
36,0.9837999939918518,0.41999998688697815,0.0,21.386999130249023,42.88600158691406,56.01699829101562,40.09719848632813,26.942100524902344,3.1,0.0,0.0,0.02580697507272735,-99.0,1.8064261355566429,4.975101539060879,6.217768615512887,6.500958123409442,6.884867671140115,1.0119412038255975,0.0,0.0,150.168128,1.8154419999999998
37,0.5152000188827515,0.28600001335144043,0.0,8.27299976348877,19.51499938964844,18.849300384521484,10.74839973449707,5.387499809265137,-0.4547533792716355,0.0,0.0,0.021459031744495274,-99.0,2.2564982042441546,4.394878800607388,5.848801056624978,6.314653193562102,6.803413867075244,1.1417821067222371,0.0,0.0,150.392433,1.8269819999999999
38,0.6565999984741211,0.5030000209808351,0.0,10.27400016784668,18.99399948120117,22.07539939880371,15.262700080871582,5.543499946594238,2.281530536354865,0.0,0.0,0.030356590457072907,-99.0,1.6405127889435949,3.695933572339477,5.866831957179848,6.329511831256328,6.803614379625922,0.9608922535719759,0.0,0.0,150.17044099999998,1.8300040000000002
39,1.3929359912872314,0.17299999296665192,0.0,0.0,0.0,19.34499931335449,21.663799285888672,10.577400207519533,3.174504944738997,0.0,0.0,0.018188527104602226,-99.0,-99.0,-99.0,5.851390125217588,6.35931696954939,6.813149802568562,1.3575747061317915,0.0,0.0,149.610732,1.833148
40,0.3127999901771545,0.5199999809265137,0.0,14.012999534606935,14.446000099182127,14.00730037689209,6.121200084686278,3.919100046157837,-1.3912770499183504,0.0,0.0,0.030528674631035525,-99.0,2.0466070347296017,3.690518111476924,5.82699984058328,6.304756184402598,6.8018067417616965,1.2456988932244393,0.0,0.0,150.492262,1.834164
43,1.7582000494003296,0.4569999873638153,0.0,7.407999992370605,12.720000267028807,21.087299346923828,18.07699966430664,9.566200256347656,1.8633351951737855,0.0,0.0,0.028480212473539712,-99.0,1.834347478373136,3.9737083851988135,5.861013454172822,6.341359843675593,6.810757630377934,1.2836216728638226,0.0,0.0,149.876918,1.847291
44,1.242900013923645,0.3230000138282776,0.0,0.0,14.717000007629395,30.813100814819336,23.34140014648437,8.453200340270996,2.6512448209953217,0.0,0.0,0.022733731472227882,-99.0,-99.0,3.8828840565518252,5.929512247303209,6.368807858404684,6.80840146830285,0.9959212029253566,0.0,0.0,150.25498100000002,1.857606
46,0.5465000271797179,0.640999972820282,11.300000190734865,25.533000946044922,39.071998596191406,25.03450012207031,10.67739963531494,0.0,0.38704352785671176,0.0,0.0,0.0362795044660295,2.652715684137628,1.4180441371453378,5.0375703516393475,5.885810217309007,6.3144604663229575,8.072999954223633,1.3550341655549298,0.0,0.0,149.446987,1.864636
47,1.4530999660491943,0.3370000123977661,0.0,17.709999084472656,35.10499954223633,32.94820022583008,27.54030036926269,0.0,2.9694665722363616,0.0,0.0,0.061358964814363724,-99.0,2.0438733774117828,4.880374124145449,5.947851228552562,6.395588247462992,26.50300025939941,1.0644249402489652,0.0,0.0,150.349635,1.8744630000000002
48,1.0815000534057615,0.26499998569488525,0.0,6.521999835968018,20.92300033569336,26.10770034790039,18.369199752807614,14.7947998046875,1.5274992622372572,0.0,0.0,0.020014056834820864,-99.0,2.0927000199454717,3.3202115126646934,5.893265582673941,6.342703209144638,6.82570273027014,1.0088359697220446,0.0,0.0,150.278536,1.877103
50,0.8395000100135803,0.7429999709129333,0.0,17.004999160766598,43.96500015258789,32.636001586914055,18.593299865722656,5.037300109863281,2.089081256115572,0.0,0.0,0.04128101699385053,-99.0,1.8152687484680292,3.900897174388358,5.945096614801957,6.343747889050659,6.802984567661087,1.2241684614250672,0.0,0.0,149.915972,1.8799709999999998
51,0.5771999955177307,0.24699999392032626,0.0,5.130000114440918,10.260000228881836,12.656399726867676,7.088099956512451,0.0,-0.2839813678349956,0.0,0.0,0.026991156005350774,-99.0,1.5086106453165262,2.5482648400789625,5.822052484002013,6.3063766028988155,6.8,1.3458046316118106,0.0,0.0,149.47843899999998,1.8953919999999997
52,0.4586000144481659,0.6850000023841858,0.0,19.608999252319336,28.548999786376953,7.353199958801269,1.1916999816894531,0.0,0.8523421550258524,0.0,0.0,0.038691891660538685,-99.0,1.6600265084572103,5.192138114662142,5.807453080259418,6.300180333780467,6.8,1.359632164060912,0.0,0.0,150.709381,1.887857
53,1.2623549699783323,0.26100000739097595,0.0,0.0,0.0,20.446399688720703,21.899099349975586,11.42490005493164,0.936611735189598,0.0,0.0,0.020647095049035818,-99.0,-99.0,-99.0,5.857378971551138,6.360606329882723,6.815338975137207,1.3435947894784517,0.0,0.0,149.46391599999998,1.889212
55,0.5110999941825867,0.328000009059906,0.0,15.819000244140625,17.639999389648438,7.924699783325195,3.476999998092652,0.0,-0.009493108769011514,0.0,0.0,0.023621177918763805,-99.0,2.2082729487477826,3.4156749518274934,5.808655729740689,6.3015349912841705,6.8,1.2840565327526474,0.0,0.0,150.58448,1.911332
56,1.3695000410079956,0.22300000488758087,0.0,8.37399959564209,10.656999588012695,15.69320011138916,12.751199722290039,6.769599914550781,4.8,0.0,0.0,0.030138390034118032,-99.0,1.3586582132193428,3.351222140978859,5.8338702803180125,6.3206130201881825,6.8053893329334905,1.3219682295728594,0.0,0.0,149.889548,1.9199680000000001
57,0.2189999967813492,0.3240000009536743,0.0,11.038000106811523,13.920000076293945,9.053999900817873,4.084099769592285,1.8875999450683596,-0.4209832481145877,0.0,0.0,0.024216522740682218,-99.0,2.0288360547758506,4.108901075827859,5.811295884974919,6.3021177229154315,6.800419167498736,1.0155080260802674,0.0,0.0,150.29462,1.918447
58,1.6595000028610232,0.3370000123977661,0.0,5.611999988555908,19.145000457763672,12.05720043182373,5.97629976272583,0.0,1.2308554076307918,0.0,0.0,0.021907134294333875,-99.0,1.5815478974109598,3.7872326953423054,5.820017330868103,6.304533753908082,6.8,0.905649277227825,0.0,0.0,150.144248,1.92372
59,1.504899978637695,0.2450000047683716,0.0,11.94499969482422,17.86400032043457,21.122800827026367,16.866199493408207,0.0,2.7777638806794105,0.0,0.0,0.01936653029799018,-99.0,1.8710606778641323,3.1656994004895846,5.861217991479687,6.336020035997543,18.482999801635746,0.9232100219730548,0.0,0.0,150.116918,1.923446
60,0.4614,0.30399999022483826,0.0,10.583999633789062,12.468000411987305,9.313199996948242,2.196199893951416,0.0,-1.036134317902783,0.0,0.0,0.022804385906079624,-99.0,1.9429248396151748,3.6215038158990587,5.81195123092865,6.300612452004862,7.3499999046325675,1.1890915055314528,0.0,0.0,150.537448,1.930709
62,1.0465009212493896,0.25,0.0,11.833999633789062,21.06399917602539,32.265098571777344,26.05019950866699,18.503700256347656,1.5463911150897451,0.0,0.0,0.020303941103113347,-99.0,1.7446214164974247,3.4824629143802643,5.941856489124793,6.385591642996456,6.8401622113136185,1.3692376566744509,0.0,0.0,149.651217,1.9424990000000002
63,0.6940000057220459,0.2450000047683716,0.0,7.892000198364258,13.56700038909912,17.283500671386722,9.705499649047852,11.946499824523926,1.1410452576007846,0.0,0.0,0.02015099327973564,-99.0,1.7872263974755038,3.4845178999832767,5.841057355713307,6.311950154864997,6.816769775552917,0.9245953373026762,0.0,0.0,150.176485,1.9465729999999999
64,0.6635000109672546,0.3179999887943268,8.899999618530273,18.341999053955078,11.253000259399414,16.418500900268555,8.682999610900879,0.0,1.3963350135624517,0.0,0.0,0.022556817295480223,2.1890865519888405,1.8558611008022412,3.40785741566272,5.83706325774352,6.309566638968848,17.201000213623047,1.2484138713425654,0.0,0.0,149.89224,1.953223
65,0.5414000153541565,0.9580000042915344,15.800000190734865,32.832000732421875,45.95299911499024,26.42099952697754,9.188199996948242,0.0,1.4835653102777704,0.0,0.0,0.051907706582694016,3.128322284830047,2.4336787560532347,5.3309195149576905,5.895499193928133,6.310711277716187,6.8,0.9138674651496106,0.0,0.0,150.110036,1.9535689999999999
