,z,IRAS_S12,WISE_S12,WISE_S22,IRAS_S25,IRAS_S60,IRAS_S100,HAT_S100,HAT_S160,HAT_S250,HAT_S350,HAT_S500,IRAS_E12,WISE_E12,WISE_E22,IRAS_E25,IRAS_E60,IRAS_E100,HAT_E100,HAT_E160,HAT_E250,HAT_E350,HAT_E500,RA_RIFSCz,DEC_RIFSCz
40,0.02847,0.0,14.83,33.67,0.0,514.0,1313.0,1715.9273126167652,2197.701276352245,1182.7270939816838,526.6820732107734,194.5636289466047,24.459412445980988,1.483,3.367,17.415768194070086,66.90780708947625,190.63536133345653,221.83820818704902,205.39628515243797,56.818873890120116,33.45765194968944,19.461815257940234,176.2103,-1.601306
41,0.02847,0.0,10.13,14.96,0.0,232.0,808.0,738.5808093660921,1080.2025824435054,479.0224186253846,221.475990337193,72.497,24.459412445980988,1.0130000000000001,1.6771383000000002,17.415768194070086,42.56971787165024,177.84583332978664,119.10656840849578,115.81766759259224,30.31679402696039,22.015137948088007,9.219913666320306,139.20847,0.572713
42,0.028489999999999998,0.0,13.99,24.46,0.0,308.0,958.0,955.2504311473143,1048.3509084687382,537.1575600779355,232.97514629793167,83.66773774128109,24.459412445980988,1.399,2.446,17.415768194070086,49.68554009107856,159.66666862386916,94.40511889394104,89.60007447491083,27.795202827973924,19.152381923877467,14.456713338168884,204.93396,27.776457
43,0.028569999999999998,0.0,15.74,68.93,0.0,341.0,0.0,507.9324660045653,362.77300516823306,148.761,50.676,19.515042819926144,24.459412445980988,1.574,6.893000000000001,17.415768194070086,50.36507243049208,133.07220383275262,32.382573735170325,36.876898308508345,8.94894363562538,7.798063295562558,11.390778508689461,134.61914,0.023474000000000002
44,0.02882,0.0,3.15,5.33,0.0,312.0,881.0,128.725150768511,224.9332260132357,148.74911440688368,81.45837052913606,43.596,24.459412445980988,1.0,0.88187987,17.415768194070086,47.22779750173611,156.67513720308818,68.55805206114036,69.76292595608038,12.822985590685635,13.615621388934814,9.043719032875801,221.55562,0.866052
45,0.02883,0.0,4.22,4.96,0.0,184.0,0.0,431.6938079976738,688.8620872260631,405.1304013751745,204.23377852299808,110.91034860625864,24.459412445980988,1.0,1.1042522,17.415768194070086,39.88271559806019,133.07220383275262,173.95256713842082,155.6671039152072,28.69079997820653,22.347704559163333,17.711617026255364,132.16756,1.038799
46,0.029230000000000003,0.0,13.71,23.83,0.0,336.0,1003.99994,781.3302950314284,1086.1501381624491,544.1416738565266,228.13781717085843,71.586,24.459412445980988,1.371,2.4012785,17.415768194070086,52.239450658272865,163.24358329626003,87.34098144701325,86.65068485487284,27.20273418176585,18.19393948015587,8.318867854751119,195.35448,28.677225
47,0.02926,0.0,6.86,33.51,0.0,275.0,0.0,428.73731121701,268.16520678347723,86.863,27.679000000000002,3.2430000000000003,24.459412445980988,1.0,3.351,17.415768194070086,54.117999778527725,133.07220383275262,42.96574820126933,49.12977921034003,7.964808737841731,8.117854843836517,8.755960956879605,211.93826,-1.639902
48,0.029560000000000003,0.0,9.51,21.58,0.0,285.0,561.0,657.72131121701,713.6082067834773,244.226,103.824,27.46,24.459412445980988,1.0,2.9572015,17.415768194070086,45.975255548357104,139.29630363034806,45.10206907284796,55.79833112837665,12.225847353930115,9.0598995999735,8.621257655354002,218.83217000000002,0.47573000000000004
49,0.02961,0.0,17.81,22.08,0.0,415.0,1047.0,0.0,0.0,813.2265439903737,360.90243430918457,124.296,24.459412445980988,1.781,2.2157085,17.415768194070086,63.6464734318696,255.1389201946466,-1000.0,-1000.0,39.85971845059676,28.48246331243968,9.886162955646645,212.37016,-1.9064029999999998
50,0.029689999999999998,0.0,19.17,25.89,0.0,260.0,981.0,1048.5883277972787,1328.0203287248316,570.5441860830782,220.265,85.556,24.459412445980988,1.9170000000000003,2.7820435000000003,17.415768194070086,49.927106230745935,163.499998088685,92.82614604254543,99.47226603415777,28.152359141591024,11.936393147010529,9.189971034644232,184.47038,-0.657227
51,0.029830000000000002,0.0,11.29,28.97,0.0,314.0,0.0,847.9650496980324,1042.2969536403198,506.9540534573793,235.985586671114,98.53439313249292,24.459412445980988,1.129,2.897,17.415768194070086,51.4675121634797,133.07220383275262,69.18662246580963,73.91670476197261,24.730070315245523,16.984946615942476,12.934910693467573,199.21313,31.58115
52,0.030080000000000003,0.0,26.46,39.48,0.0,649.0,1684.0,2068.5435524512827,2000.779653299451,939.8248276985288,374.99800000000005,134.57,24.459412445980988,2.646,3.9479999999999995,17.415768194070086,74.24293461553094,219.20767993946845,117.93755389174498,122.45460074121885,42.54830566325422,16.734370648650042,9.322933006302254,217.44185,-0.152395
53,0.030310000000000004,0.0,8.77,24.08,0.0,257.0,0.0,588.5404632500782,610.9220267460793,310.2479937323928,151.41112841385603,58.0,24.459412445980988,1.0,2.408,17.415768194070086,48.214230226602794,133.07220383275262,72.27556620257276,69.18780827849412,19.349825906812693,15.803665907063827,8.087598388721725,199.21114,31.630674
54,0.03034,0.0,10.71,18.28,0.0,235.0,0.0,0.0,0.0,246.953,101.98700000000001,37.394,24.459412445980988,1.0710000000000002,1.8472368000000001,17.415768194070086,45.675789842954856,133.07220383275262,-1000.0,-1000.0,12.41748615900142,9.167067922345607,8.761979674678924,207.58388,24.935944
55,0.03071,0.0,9.2,17.31,0.0,270.0,0.0,460.0648283954728,381.12576124445724,173.148,68.256,23.945,24.459412445980988,1.0,2.480313,17.415768194070086,45.792865044920816,133.07220383275262,42.59769838599802,45.75549652910202,10.446633806825952,8.699122151384227,8.98385413311609,195.43285,29.926825
56,0.030739999999999996,0.0,9.23,15.37,0.0,243.0,637.0,446.0932537542284,902.319840832457,388.1435070326627,164.00725915870072,49.178000000000004,24.459412445980988,1.0,1.7010641,17.415768194070086,46.115336781175394,142.4375308180638,89.87378372466473,85.90692168076944,23.41656438170603,17.811080228352203,9.007720993876637,192.63087,30.846912
57,0.03145,0.0,18.32,26.5,0.0,347.0,1389.0,1364.7821249210833,2126.631385840476,1141.4553491397198,546.5155589190424,216.5566984373629,24.459412445980988,1.832,2.65,17.415768194070086,53.21765451458196,187.7179121541617,128.66560933455074,133.62949873058287,50.584682094656756,29.530463458519392,17.982884046530067,199.25014,34.101659999999995
58,0.03148,0.0,20.37,45.42,0.0,415.0,971.0,892.660505456444,899.3141126784086,347.7179946220368,128.232,53.888999999999996,24.459412445980988,2.037,4.542,17.415768194070086,58.98702103986982,167.72555515586183,61.57842509600117,66.07588465226996,19.128699979202803,9.561702434771686,8.93754695023077,194.75862,28.115665000000003
59,0.03148,0.0,10.12,16.25,0.0,209.0,766.0,644.6050366150478,697.4605666841119,333.85300432713325,138.407,44.874,24.459412445980988,1.012,1.8003906000000003,17.415768194070086,43.986210088420684,147.0929345884451,57.72585832748439,60.788930475267584,18.659613831942085,9.52320106054445,8.405676734775367,199.9954,29.427439
60,0.031580000000000004,0.0,75.06,163.83,166.0,1951.0,3842.0,2747.1,2692.79,1367.849720135033,491.698,181.836,24.459412445980988,7.506,16.383000000000003,39.025661802639135,198.96374573964474,406.40046454420786,86.10534075492936,117.9002283916787,56.749577443339454,21.352978085653533,11.147718754686988,215.61504,0.059048
61,0.032010000000000004,0.0,9.41,20.68,0.0,228.0,0.0,599.0089840393216,618.72091926907,281.31726366443934,105.65799999999999,39.393,24.459412445980988,1.0,2.2037392000000002,17.415768194070086,46.66361632021203,133.07220383275262,59.638016869681074,61.19558446772006,17.398123840720192,9.204778337783038,8.788125843653804,200.10675,30.602999
