,z,F22,F100,F160,F250,F350,F500,E22,E100,E160,E250,E350,E500,ra,dec
53,0.050839999999999996,72.243705,912.9454660045653,638.6450051682331,235.02,81.65,19.318,6.745571335816505,38.520557106992676,42.449107550243404,11.437099135707447,8.106981929176849,7.818279618841987,131.948501,-0.38111999999999996
54,0.0702,6.06457,338.0101216857136,462.72473154884574,307.38838606426117,179.62858863815666,90.432,1.1146811937787144,86.12895535385447,80.2399181174752,22.527395939599987,18.530700169443623,8.502807747938324,137.787035,0.311556
58,0.08856,49.294673,722.4384660045654,768.9280051682332,307.086,129.989,42.199,4.6974070583535,45.84479136379117,56.962053365913675,14.380660006884249,9.58573070733786,8.854381568556892,139.949077,2.528779
59,0.07861,18.348476,642.7274660045654,661.8150051682331,283.325,118.111,40.938,2.0022581067725898,44.93829905381062,54.76745057016371,13.456296444415901,9.469698111006496,8.837042930211444,131.11793500000002,2.115908
60,0.0529,6.1830105,288.492632890828,540.5699569619596,303.1114952842891,138.28566573257746,58.86,1.0434551008960964,74.63585293556586,72.17929753573227,19.94445842126489,16.343510074502458,8.008884089559544,135.363802,-0.41842799999999997
62,0.06885,11.890497,497.0851594876908,586.9748213454933,300.72031729108096,128.59400000000002,62.52,1.425573598545169,69.83467435934544,73.06981108118262,19.29142448785567,9.64930893575286,9.08209015810788,133.731314,-1.055395
65,0.05214,21.301,642.5236797988266,679.2418690686302,314.78783859339353,145.07654855573176,50.297,2.180923392152425,84.15574658085481,84.17588607768471,17.509486066760516,14.574144534254826,9.148950001743373,130.082766,-1.115845
67,0.07301,36.914755,616.0304660045654,543.526005168233,217.241,95.10600000000001,31.526999999999997,3.5899074549984173,44.654640238595455,52.64359324286879,10.873322368512763,8.38914602195003,7.87660763059834,130.961474,0.9264690000000001
68,0.05417,5.223962,250.2544660045654,418.19600516823306,210.866,106.89299999999999,42.243,1.3229069630418218,30.01472908319169,37.80422544626288,10.654118120689297,8.58630872484795,7.937927291075423,138.068386,0.932243
69,0.07597999999999999,3.992087,321.89246600456534,456.904005168233,265.639,130.86,54.129,1.2936679248347307,42.254036149944504,51.3097759900785,12.856561333171479,9.591262292315855,8.866426666115274,137.286369,-0.136982
71,0.08781,10.804383999999999,501.34154535247393,596.3274285663963,304.88442576244466,146.115,59.096,1.295357512344368,91.43618063638245,89.0291167480447,20.54910562326237,10.01361623790327,9.055954038399266,140.593907,-0.48821499999999995
72,0.19552,4.446313,841.2544660045653,641.0120051682331,261.64099999999996,111.697,34.71,1.1643460147212077,47.352401186402886,54.37011408376553,12.811203753340278,9.244382115339024,8.742944501711081,133.14354699999998,1.5721129999999999
73,0.05482000000000001,14.696029000000001,595.7184660045654,619.0130051682331,259.45799999999997,111.023,36.601,2.2557487783373618,44.445734104424936,53.960712014926656,12.72490844848795,9.312142366093852,8.550274213240181,138.7633,-1.455963
75,0.18153,4.7162846,586.2664660045654,549.598005168233,255.37500000000003,125.285,52.257,1.0337787150680202,44.350584698945866,52.74436299649321,12.57162714210058,9.698997162593667,9.150931727337932,139.306598,-1.594252
76,0.05397999999999999,3.6475394999999997,381.2218928791769,373.9435808140114,206.74317198513447,83.73299999999999,32.547,1.5798565385263872,49.245925967945325,50.99969980520679,15.128337868383289,8.144551581419323,7.819142634227872,138.703546,-0.592858
