,z,LIR_med,LIR_16th,LIR_84th,LPeak_med,LPeak_16th,LPeak_84th,alpha_med,alpha_16th,alpha_84th,beta_med,beta_16th,beta_84th,tdust_med,tdust_16th,tdust_84th
46,0.059370000000000006,10.74294425768262,0.022790403501883945,0.024015291602288883,128.8363002482699,4.027727311282646,3.792765702192611,2.610657225457447,0.12134530061180593,0.1328024640268719,2.0232643950399707,0.19179813646191457,0.19008107855476553,33.350532982159294,1.3290482562253416,1.4416633901721951
47,0.052039999999999996,10.642009977078182,0.0378844820763903,0.039951534845312296,133.5073396393929,6.23664871808387,6.343773376820252,2.437149162631105,0.1485142220762019,0.16218474575597774,2.047878191074828,0.215246016485235,0.2222391812769442,31.60745556949042,2.13749534955814,2.229799247746044
48,0.14219,11.639369151681798,0.024391871683116528,0.027024441753358937,107.79250597445935,4.062439202747683,3.989302695647865,2.839128837505351,0.14955086960948716,0.16206317956116711,1.785370374582103,0.18727823098144247,0.1917324499120796,42.62410040357846,1.7480057430236755,1.834443356155333
49,0.051870000000000006,10.730255304144356,0.020255678712293255,0.02177444569387929,125.234974470595,4.030946462252558,3.7868368847280465,2.1771893958234925,0.10210262854361307,0.11192609026269418,2.357064281641777,0.20481834754524453,0.21012918329298014,35.558512823023456,1.3934012831905775,1.501434028945205
50,0.052329999999999995,10.48743192062437,0.03241196744807219,0.034025545835652315,133.5073396393929,5.732522007825139,5.476097538770347,2.374587660534088,0.13801197831058465,0.1545331208778693,2.0433100117273795,0.23379607272812963,0.2323031816127794,31.63108373710389,1.8640318828301936,1.999922993172408
51,0.13241,11.574809778101496,0.024132312057929844,0.02604335731067458,101.4465406890926,4.078711536288921,4.033742211855142,2.7578461500086444,0.17353150214941815,0.1889436804456861,2.114651717986346,0.21763085742378774,0.2184134580753887,47.668291819938865,1.9189271530943017,2.0748077978626114
53,0.050839999999999996,10.952537213610317,0.02372251634233951,0.026063564713184034,94.71476835851026,4.796249228571881,4.632217374126412,2.1331601987993363,0.1635605243920184,0.193668072795953,2.1407226183642036,0.20631615457443542,0.21144566992033953,52.22027358987914,2.5483960110226818,2.909043346281571
54,0.0702,10.659159542805966,0.05967229528242313,0.06346239166262993,148.20397220258508,10.337260315184665,12.716437376137065,2.5455268695250304,0.2315703940619831,0.24527228865316308,1.2531505147474937,0.24393345386369347,0.2509193387952968,28.264927385674326,3.1598466383888066,3.010649302512874
58,0.08856,11.319444863550657,0.022109571125907525,0.022032960325577798,112.27983108453284,4.314151557945479,4.116231430089471,1.8986343446254708,0.10542899430101049,0.118573449679642,2.009634490508452,0.20364006531860968,0.20314550792141928,40.94510382107647,1.7059809944538458,1.833478779700954
59,0.07861,11.067175588385862,0.024617540822459975,0.02657327490740451,114.70734994694725,4.5742307145388,4.369840231944195,2.5529559161806286,0.13617226960088358,0.1533604182035715,1.9720213204118957,0.2156157655361135,0.21391574603372887,39.56600095931191,1.7365475286497798,1.8938052966239383
