,z,LIR_med,LIR_16th,LIR_84th,LPeak_med,LPeak_16th,LPeak_84th,alpha_med,alpha_16th,alpha_84th,beta_med,beta_16th,beta_84th,tdust_med,tdust_16th,tdust_84th,sigma_clipped
421,0.054000000000000006,10.73790059810786,0.019818444578134108,0.019630715734182735,120.74417863607022,4.146169450387205,4.199752214269083,2.2190188848912857,0.0888769879889546,0.09420186518987572,1.9576306346324235,0.24221520080224068,0.24513431168532396,36.66281472786754,1.4953640269160005,1.516166346035071,
422,0.0541,10.648257179236932,0.03272466764408628,0.032227817362816845,148.20397220258508,6.335460091858778,7.436736965833944,2.11123004989964,0.11722855208782201,0.11199370387024743,2.1876624779705818,0.24434795278210864,0.2634714339421076,26.858096275622103,2.1581447305174066,1.9521120802394627,
423,0.054279999999999995,10.959653742311055,0.015098847127742121,0.015195558383351588,111.30354449681944,2.773524681001547,2.851737920465638,2.40573780400309,0.08652477677169435,0.10093574669017746,1.882306161971706,0.13769901825673392,0.1446499342426928,41.025855406920364,1.184963975037654,1.1745054378164497,
424,0.055,11.076642112877572,0.015018115331242065,0.015435804938006272,118.79653158177965,3.3171777645138008,3.3281663092277682,2.1402309180222545,0.07402556119088288,0.08387846259563547,2.113989367778257,0.16119979821639108,0.1653916906873958,37.945615128957385,1.2785170105060644,1.271287225448674,
425,0.05675,11.225941632596113,0.013996454128208843,0.014547442330325714,134.37492861260503,2.827587539826027,2.7183629342750066,2.3001299375093156,0.06673088588664688,0.07331060063957828,1.812059296594549,0.12793058431207394,0.12844261807064794,31.206100216740353,0.894954757204566,0.958706974159746,
426,0.05736,10.887678058569191,0.02457427806585661,0.023897290777671176,140.97570259468384,4.439470295076546,5.160348506681203,2.1410012538078926,0.0912823758999668,0.08935895767393509,2.1399306779523632,0.17802411950988217,0.19621521438777778,29.065694744700316,1.6344504555481016,1.4562181754644214,
427,0.057999999999999996,10.746652991397276,0.022968442204477746,0.024371151182840563,115.87759032458783,5.07868901748013,5.092990545658878,1.99387672172737,0.09426756625862942,0.10158095521714783,2.167123191838199,0.28875213928128485,0.31361583128159554,39.59490094914452,1.8845791593828807,2.03420465875827,
428,0.058170000000000006,10.937293995811801,0.02325016471725559,0.02315916933312976,124.67350798604132,4.549827407712229,4.679423374726113,2.04908239243941,0.08272971597422107,0.08878262169520079,2.058171014815404,0.20121257995460207,0.20138473793517342,35.13374282063455,1.7327117384882484,1.6843047138279914,
429,0.058410000000000004,11.058905689544826,0.019833518989494592,0.019888140533248028,132.43304449397485,3.6995756458549067,3.7803222573718642,2.3673087408660294,0.09168017831032804,0.09851435104909845,1.918572178928281,0.17734468651277058,0.18434267178199337,31.909502216961464,1.2755110565210863,1.284783445070481,
430,0.05946,10.907673105909126,0.016823288241795846,0.016945024067029253,126.33362264022207,3.445929597086888,3.1855068789073187,2.2013024660683893,0.07657731501907339,0.08335744993482397,2.51654791479858,0.18943750052281239,0.2006203770327155,35.47845828279892,1.1522325766842982,1.234761826567457,
431,0.060360000000000004,10.704455672311774,0.027582969128657965,0.027679083613260574,140.16710889831742,5.926388716499929,6.207664035545122,2.0358473452108927,0.10193735798538772,0.10605093944004063,1.6690957267888455,0.27158452953750656,0.2853485846905017,29.538097566667524,1.9022441907099932,1.9581925198451984,
432,0.0611,10.940055269944853,0.0220695828659948,0.022749407920373756,122.70071891070118,4.4268720035341005,4.149569613165227,2.64389184211401,0.11845736757888359,0.13336603208781783,1.9293799985414868,0.20377760499896125,0.20259642571472014,35.761579838990585,1.5483982388457918,1.6864082098183175,
